Model,Accuracy,Std,N Samples,Pair
Baseline (No Phases),0.5736903376018626,0.046875570182194466,5154,EURUSD
Phase as Feature,0.5692665890570432,0.05358605904662081,5154,EURUSD
Separate Phase Models (avg),0.5496560827219015,0.019395757433255584,5154,EURUSD
Baseline (No Phases),0.5760743321718931,0.04966294332136103,5166,GBPUSD
Phase as Feature,0.5679442508710801,0.047661520391830865,5166,GBPUSD
Separate Phase Models (avg),0.5446201604998775,0.02202965548266643,5166,GBPUSD
Baseline (No Phases),0.5674039580908034,0.025585763665315307,5154,USDJPY
Phase as Feature,0.5664726426076834,0.02826354534201355,5154,USDJPY
Separate Phase Models (avg),0.5362986048144931,0.016730853848317257,5154,USDJPY
Baseline (No Phases),0.5607433217189315,0.04394727598772952,5167,USDCHF
Phase as Feature,0.5598141695702671,0.042775071002362317,5167,USDCHF
Separate Phase Models (avg),0.5571838073087765,0.018413213316488927,5167,USDCHF
Phase as Feature,0.5778054862842893,0.03863003076455116,4814,AUDUSD
Baseline (No Phases),0.5740648379052369,0.041079821011419465,4814,AUDUSD
Separate Phase Models (avg),0.5346519591010819,0.030712011942190604,4814,AUDUSD
Phase as Feature,0.5630662020905923,0.04586380089452984,5169,USDCAD
Baseline (No Phases),0.5577235772357723,0.04921766379925981,5169,USDCAD
Separate Phase Models (avg),0.5430280530261975,0.03100953148295304,5169,USDCAD
Baseline (No Phases),0.5723577235772358,0.06198392020769995,5166,NZDUSD
Phase as Feature,0.5707317073170731,0.05795854187688993,5166,NZDUSD
Separate Phase Models (avg),0.5457097873092867,0.021994720742761785,5166,NZDUSD
Baseline (No Phases),0.5726218097447797,0.04693776213734663,5174,EURGBP
Phase as Feature,0.5654292343387471,0.04607540473268324,5174,EURGBP
Separate Phase Models (avg),0.5476524498772015,0.021636236399494337,5174,EURGBP
Phase as Feature,0.5762514551804424,0.04700030090380992,5157,EURJPY
Baseline (No Phases),0.5657741559953433,0.04257650086393464,5157,EURJPY
Separate Phase Models (avg),0.5365469968711143,0.01659413474049467,5157,EURJPY
Phase as Feature,0.5564610011641443,0.05461809999688208,5155,EURCHF
Baseline (No Phases),0.5541327124563445,0.037419590880499766,5155,EURCHF
Separate Phase Models (avg),0.5362345231841705,0.008612010647354602,5155,EURCHF
Phase as Feature,0.5732868757259,0.05698684120759393,5170,GBPJPY
Baseline (No Phases),0.5725900116144018,0.055448278434526245,5170,GBPJPY
Separate Phase Models (avg),0.5410741582052045,0.0114914924898372,5170,GBPJPY
Phase as Feature,0.5809744779582366,0.04719396704060249,5173,AUDJPY
Baseline (No Phases),0.5733178654292342,0.041591551811372064,5173,AUDJPY
Separate Phase Models (avg),0.5498471311115869,0.022179065371318696,5173,AUDJPY
Phase as Feature,0.5686411149825784,0.043726950483772814,5171,EURAUD
Baseline (No Phases),0.5665505226480836,0.04373805480116951,5171,EURAUD
Separate Phase Models (avg),0.5578719409747878,0.019664928730796793,5171,EURAUD
Phase as Feature,0.5674796747967479,0.039520381027570446,5171,GBPAUD
Baseline (No Phases),0.5593495934959349,0.059628841358367234,5171,GBPAUD
Separate Phase Models (avg),0.5423031446913541,0.028052171034406645,5171,GBPAUD
